,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind speed
0,puerto ayora,broken clouds,EC,1567436151,78,-0.74,-90.35,23.0,5.7
1,mataura,broken clouds,NZ,1567436151,88,-46.19,168.86,7.78,1.34
2,hithadhoo,overcast clouds,MV,1567436151,76,-0.6,73.08,28.53,4.75
3,ushuaia,shower rain,AR,1567436151,93,-54.81,-68.31,4.0,12.9
4,portland,moderate rain,US,1567435862,77,43.66,-70.25,21.11,5.7
5,butaritari,scattered clouds,KI,1567436151,73,3.07,172.79,29.23,3.55
6,rikitea,light rain,PF,1567436152,88,-23.12,-134.97,21.93,7.13
7,busselton,few clouds,AU,1567436152,52,-33.64,115.35,13.33,12.28
8,bluff,clear sky,AU,1567436152,33,-23.58,149.07,16.33,2.65
9,ponta do sol,scattered clouds,BR,1567436152,37,-20.63,-46.0,29.83,1.47
10,oriximina,clear sky,BR,1567436152,43,-1.77,-55.87,33.63,2.32
11,saint george,few clouds,GR,1567436152,42,39.45,22.34,33.0,6.2
12,adre,light rain,TD,1567436153,69,13.47,22.2,25.43,5.36
13,half moon bay,mist,US,1567436153,100,37.46,-122.43,18.33,3.1
14,atuona,few clouds,PF,1567436153,74,-9.8,-139.03,25.33,6.8
15,palmer,clear sky,AU,1567436153,82,-34.85,139.16,13.33,3.6
16,hualmay,clear sky,PE,1567436153,89,-11.1,-77.61,15.53,4.58
17,vanavara,scattered clouds,RU,1567436153,86,60.35,102.28,8.83,2.01
18,chuy,scattered clouds,UY,1567436153,51,-33.69,-53.46,11.53,2.96
19,albany,light rain,US,1567436154,82,42.65,-73.75,19.44,4.1
20,jamestown,clear sky,AU,1567436154,65,-33.21,138.6,12.03,2.72
21,cayenne,few clouds,GF,1567436154,62,4.94,-52.33,31.0,1.5
22,sawtell,clear sky,AU,1567436154,76,-30.38,153.1,14.0,2.6
23,la ronge,overcast clouds,CA,1567436154,81,55.1,-105.3,12.0,3.1
24,kavieng,few clouds,PG,1567436154,77,-2.57,150.8,27.53,4.78
25,ostrovnoy,clear sky,RU,1567436154,74,68.05,39.51,18.53,6.41
26,sozimskiy,scattered clouds,RU,1567436155,76,59.74,52.25,11.23,2.63
27,castro,few clouds,CL,1567436155,81,-42.48,-73.76,6.0,4.1
28,clyde river,overcast clouds,CA,1567436155,86,70.47,-68.59,5.0,6.7
29,port augusta,clear sky,AU,1567436155,54,-32.49,137.76,15.0,3.6
30,alberdi,clear sky,AR,1567436155,45,-26.19,-58.14,18.0,4.6
31,sola,broken clouds,TZ,1567436155,30,-3.17,33.8,30.33,3.41
32,lebu,light rain,ET,1567436155,83,8.96,38.73,17.13,1.75
33,tumut,broken clouds,AU,1567436156,88,-35.3,148.22,6.53,1.66
34,ust-maya,clear sky,RU,1567436156,90,60.42,134.54,7.83,0.78
35,mayo,smoke,CA,1567436013,81,63.59,-135.9,6.0,1.5
